iter	Passed	Remaining
0	0	67
1	1	62
2	1	58
3	2	54
4	2	53
5	3	53
6	3	52
7	4	51
8	5	51
9	5	50
10	6	50
11	7	51
12	7	51
13	8	51
14	9	51
15	9	50
16	10	49
17	10	48
18	11	47
19	11	46
20	12	45
21	12	45
22	13	44
23	20	65
24	29	88
25	29	85
26	30	82
27	30	79
28	31	77
29	31	74
30	32	72
31	33	70
32	33	68
33	34	66
34	34	64
35	35	63
36	35	61
37	36	59
38	37	58
39	38	57
40	38	55
41	38	53
42	39	52
43	40	51
44	40	50
45	41	48
46	41	47
47	42	46
48	43	44
49	43	43
50	44	42
51	44	41
52	45	40
53	45	39
54	46	37
55	46	36
56	47	35
57	48	34
58	48	33
59	49	32
60	49	31
61	50	30
62	50	29
63	51	29
64	52	28
65	52	27
66	53	26
67	53	25
68	54	24
69	54	23
70	55	22
71	60	23
72	71	26
73	72	25
74	72	24
75	73	23
76	73	21
77	74	20
78	74	19
79	75	18
80	75	17
81	76	16
82	76	15
83	77	14
84	77	13
85	78	12
86	78	11
87	79	10
88	79	9
89	80	8
90	80	7
91	81	7
92	81	6
93	82	5
94	82	4
95	83	3
96	84	2
97	84	1
98	85	0
99	85	0
