iter	Passed	Remaining
0	103	103587
1	105	52598
2	107	35570
3	108	26934
4	109	21811
5	110	18339
6	112	15893
7	112	14003
8	113	12551
9	115	11392
10	115	10427
11	116	9626
12	117	8955
13	120	8515
14	122	8012
15	122	7553
16	123	7149
17	124	6786
18	125	6459
19	125	6164
20	126	5896
21	127	5653
22	127	5435
23	128	5227
24	129	5037
25	130	4894
26	131	4736
27	132	4591
28	147	4930
29	150	4855
30	151	4720
31	151	4591
32	152	4478
33	153	4366
34	154	4256
35	155	4150
36	155	4051
37	156	3957
38	156	3867
39	157	3782
40	158	3705
41	159	3629
42	159	3555
43	160	3485
44	161	3418
45	161	3354
46	163	3308
47	178	3538
48	179	3486
49	180	3431
50	181	3375
51	182	3320
52	182	3263
53	183	3209
54	183	3157
55	184	3107
56	184	3059
57	185	3011
58	185	2966
59	186	2922
60	187	2879
61	187	2839
62	188	2799
63	188	2761
64	189	2724
65	189	2687
66	190	2652
67	191	2618
68	191	2585
69	192	2552
70	192	2521
71	193	2492
72	208	2651
73	209	2624
74	210	2594
75	211	2566
76	211	2537
77	212	2508
78	213	2483
79	213	2456
80	214	2430
81	214	2403
82	214	2375
83	215	2350
84	216	2329
85	217	2308
86	218	2288
87	218	2269
88	219	2248
89	220	2227
90	220	2207
91	221	2186
92	222	2166
93	222	2148
94	224	2135
95	239	2252
96	239	2233
97	240	2217
98	241	2200
99	242	2181
100	242	2162
101	243	2144
102	244	2125
103	244	2107
104	245	2090
105	245	2072
106	246	2055
107	247	2040
108	247	2024
109	248	2008
110	248	1992
111	249	1977
112	250	1962
113	250	1948
114	251	1933
115	251	1918
116	252	1903
117	252	1889
118	253	1877
119	257	1890
120	269	1960
121	270	1946
122	270	1931
123	271	1917
124	271	1903
125	272	1890
126	272	1875
127	273	1862
128	273	1849
129	274	1836
130	274	1824
131	275	1811
132	275	1799
133	276	1787
134	277	1775
135	277	1764
136	278	1753
137	278	1742
138	279	1731
139	280	1720
140	280	1709
141	281	1698
142	281	1687
143	282	1677
144	282	1667
145	283	1657
146	283	1647
147	284	1637
148	284	1627
149	301	1708
150	302	1700
151	303	1692
152	303	1682
153	304	1672
154	305	1663
155	305	1653
156	306	1644
157	306	1635
158	307	1626
159	308	1618
160	308	1609
161	309	1601
162	310	1592
163	310	1584
164	311	1575
165	312	1567
166	312	1559
167	313	1550
168	313	1542
169	314	1534
170	314	1526
171	315	1518
172	331	1586
173	333	1581
174	334	1575
175	335	1572
176	336	1565
177	337	1557
178	338	1550
179	338	1542
180	339	1534
181	339	1527
182	340	1522
183	341	1514
184	342	1507
185	342	1499
186	343	1492
187	344	1486
188	344	1479
189	345	1472
190	345	1465
191	346	1458
192	350	1463
193	363	1508
194	364	1506
195	366	1501
196	366	1494
197	367	1488
198	368	1481
199	368	1474
200	369	1467
201	369	1461
202	370	1454
203	372	1452
204	372	1446
205	373	1440
206	374	1433
207	374	1427
208	375	1421
209	376	1416
210	377	1410
211	386	1434
212	394	1459
213	395	1452
214	396	1446
215	396	1440
216	397	1434
217	398	1427
218	398	1421
219	399	1415
220	399	1409
221	400	1403
222	401	1398
223	402	1393
224	402	1387
225	403	1381
226	404	1375
227	404	1371
228	405	1365
229	406	1360
230	406	1354
231	408	1350
232	409	1347
233	410	1343
234	411	1339
235	412	1334
236	413	1329
237	413	1324
238	414	1319
239	415	1315
240	416	1310
241	416	1305
242	417	1300
243	418	1295
244	419	1292
245	420	1287
246	420	1283
247	421	1278
248	422	1273
249	422	1268
250	425	1268
251	437	1297
252	438	1293
253	438	1288
254	439	1284
255	440	1279
256	441	1274
257	441	1270
258	442	1265
259	442	1260
260	443	1255
261	443	1250
262	444	1245
263	445	1241
264	446	1237
265	446	1232
266	447	1227
267	447	1223
268	448	1219
269	449	1215
270	450	1211
271	450	1206
272	457	1217
273	468	1241
274	469	1236
275	469	1232
276	470	1227
277	470	1223
